,0
0,news
1,games
2,other
3,software
4,advertising
5,curated web
6,e-commerce
7,health and wellness
8,real estate
9,education
10,search
11,marketplaces
12,hospitality
13,health care
14,analytics
15,fashion
16,mobile
17,biotechnology
18,social media
19,enterprise software
20,sports
21,saas
22,manufacturing
23,entertainment
24,travel
25,design
26,finance
27,video
28,security
29,photography
30,sales and marketing
31,big data
32,hardware + software
33,clean technology
34,messaging
35,transportation
36,web hosting
37,technology
38,automotive
39,music
40,semiconductors
41,networking
42,cloud computing
43,medical
44,internet
45,public relations
46,consulting
47,apps
48,nonprofits
49,startups
