,permalink,no_acquisitions
0,/organization/cisco,168
1,/organization/google,165
2,/organization/yahoo,116
3,/organization/aol,64
4,/organization/ebay,49
5,/organization/facebook,49
6,/organization/amazon,46
7,/organization/twitter,38
8,/organization/groupon,34
9,/organization/salesforce,30
10,/organization/zayo-group,27
11,/organization/zynga,25
12,/organization/blackberry,24
13,/organization/intuit,20
14,/organization/homeaway,19
15,/organization/tripadvisor,19
16,/organization/vmware,19
17,/organization/dropbox,18
18,/organization/automattic,16
19,/organization/bmc-software,15
20,/organization/rakuten,15
21,/organization/sap,14
22,/organization/rent-my-vacation-home-com,14
23,/organization/kit-digital,14
24,/organization/comcast,13
25,/organization/mcafee,12
26,/organization/tibco-software-inc,12
27,/organization/3d-systems,12
28,/organization/adknowledge,12
29,/organization/linkedin,12
30,/organization/livingsocial,11
31,/organization/newscorporation,11
32,/organization/opentext,11
33,/organization/mediabistro-inc,11
34,/organization/valueclick,10
35,/organization/rackspace,10
36,/organization/juniper-networks,10
37,/organization/abbott,10
38,/organization/ask-com,9
39,/organization/morningstar,9
40,/organization/hellhouse-media,9
41,/organization/hootsuite,9
42,/organization/solarwinds,9
43,/organization/yandex,9
44,/organization/crowdgather,9
45,/organization/blackboard,9
46,/organization/buscape,9
47,/organization/dyn,9
48,/organization/equifax,9
49,/organization/crowdsavings,9
50,/organization/sugar,9
51,/organization/chegg,9
52,/organization/spin-media-group,9
53,/organization/cardinal-health,8
54,/organization/opentable,8
55,/organization/glammedia,8
56,/organization/playdom,8
57,/organization/scripps-networks-interactive,8
58,/organization/zillow,8
59,/organization/ador,8
60,/organization/good-technology,8
61,/organization/realpage,8
62,/organization/raytheon,8
63,/organization/perficient,8
64,/organization/callidus-software,8
65,/organization/honeywell,8
66,/organization/infor,8
67,/organization/xerox,7
68,/organization/celframe,7
69,/organization/verifone,7
70,/organization/comscore,7
71,/organization/matomy-media-group,7
72,/organization/wideorbit,7
73,/organization/opera-software,7
74,/organization/xo-group,7
75,/organization/dachis-group,7
76,/organization/hologic,7
77,/organization/bristol-myers-squibb,7
78,/organization/verizon,7
79,/organization/saic,7
80,/organization/bottomline-technologies,7
81,/organization/siemens,7
82,/organization/innerworkings,7
83,/organization/deltek,7
84,/organization/kofax,7
85,/organization/jive-software,7
86,/organization/ticketmaster,7
87,/organization/upland-software,7
88,/organization/sungard,7
89,/organization/sapient,7
90,/organization/cloud-sherpas,7
91,/organization/paypal,7
92,/organization/airbnb,6
93,/organization/dena,6
94,/organization/general-dynamics,6
95,/organization/baidu,6
96,/organization/rubiconproject,6
97,/organization/springsource,6
98,/organization/lockheed-martin,6
99,/organization/liberty-global,6
100,/organization/nvidia,6
101,/organization/liveperson,6
102,/organization/telogis,6
103,/organization/scytl,6
104,/organization/ncr,6
105,/organization/amgen,6
106,/organization/alibaba,6
107,/organization/adconion-media-group,6
108,/organization/tagged,6
109,/organization/buywithme,6
110,/organization/mylife-com,6
111,/organization/just-eat,6
112,/organization/general-electric,6
113,/organization/broadsoft,6
114,/organization/recoup,6
115,/organization/sunedison,6
116,/organization/snapone-inc,6
117,/organization/sprint-nextel,6
118,/organization/square,6
119,/organization/box,6
120,/organization/kabam,6
121,/organization/datranmedia,6
122,/organization/batanga,6
123,/organization/gree,5
124,/organization/reply-com,5
125,/organization/appcelerator,5
126,/organization/incomm,5
127,/organization/cdc-software-corporation,5
128,/organization/higher-one,5
129,/organization/tencent,5
130,/organization/delivery-hero,5
131,/organization/ngmoco,5
132,/organization/atlassian,5
133,/organization/mitre-media-corp,5
134,/organization/viggle,5
135,/organization/saymedia,5
136,/organization/globant,5
137,/organization/foodpanda,5
138,/organization/opko-health,5
139,/organization/teads,5
140,/organization/komli-media,5
141,/organization/quinstreet,5
142,/organization/get-holding-nv,5
143,/organization/tangoe,5
144,/organization/populis,5
145,/organization/velti,5
146,/organization/cavium-networks,5
147,/organization/liaison-technologies,5
148,/organization/inmobi,5
149,/organization/constant-contact,5
150,/organization/dealertrack,5
151,/organization/ancestry-com,5
152,/organization/pinterest,5
153,/organization/earthlink,5
154,/organization/woven-digital,5
155,/organization/cafepress,5
156,/organization/dupont,5
157,/organization/evestment-alliance,5
158,/organization/asure-software,5
159,/organization/proofpoint,5
160,/organization/zebra-technologies,5
161,/organization/barracuda-networks,5
162,/organization/etsy,5
163,/organization/millennial-media,5
164,/organization/myheritage,5
165,/organization/ebix,5
166,/organization/whale-shark-media,5
167,/organization/secondlife,5
168,/organization/stubhub,5
169,/organization/aruba-networks,5
170,/organization/xing,5
171,/organization/priceline,5
172,/organization/amobee,5
173,/organization/evernote,5
174,/organization/fab-com,5
175,/organization/abb,5
176,/organization/coupons-com,5
177,/organization/riverbed-technology,5
178,/organization/pluralsight,5
179,/organization/omniture,5
