,company_permalink,unique_investors,median_investor_value
0,/organization/0-6-com,1,9.0
1,/organization/004-technologies,1,6.0
2,/organization/01games-technology,1,5.0
3,/organization/0xdata,6,6.0
4,/organization/1,12,9.0
5,/organization/1-2-3-listo,1,8.0
6,/organization/1-800-dentist,2,9.0
7,/organization/1000-corks,1,8.0
8,/organization/1000-markets,3,8.0
9,/organization/1000chi,1,9.0
10,/organization/1000jobboersen-de,2,8.5
11,/organization/1000memories,10,9.0
12,/organization/1000museums-com,5,8.0
13,/organization/1001-menus,7,4.5
14,/organization/1006-tv,3,9.0
15,/organization/100du-tv,1,8.0
16,/organization/100e-com,1,9.0
17,/organization/100plus,4,9.0
18,/organization/1010data,1,9.0
19,/organization/10alike,10,8.5
20,/organization/10sec,2,8.5
21,/organization/10six,1,4.0
22,/organization/117go,1,8.0
23,/organization/11i-solutions,1,3.0
25,/organization/120-sports,3,0.0
26,/organization/121cast,3,1.0
27,/organization/121nexus,6,1.0
28,/organization/123contactform,1,0.0
29,/organization/123people,1,0.0
30,/organization/1248,1,4.0
32,/organization/12society,5,6.5
33,/organization/1366-technologies,8,9.0
34,/organization/139shop,1,9.0
35,/organization/13th-lab,1,9.0
36,/organization/140-proof,4,9.0
37,/organization/140fire,1,9.0
38,/organization/15five,13,9.0
39,/organization/170-systems,1,9.0
40,/organization/17u-cn,4,9.0
41,/organization/19pay,2,9.0
42,/organization/1bib,1,9.0
43,/organization/1bog,1,9.0
44,/organization/1c-company,1,9.0
45,/organization/1cast,1,9.0
46,/organization/1click,1,7.0
48,/organization/1docway,1,8.0
49,/organization/1eq,2,3.0
50,/organization/1jiajie,3,9.0
51,/organization/1life-healthcare,5,9.0
52,/organization/1mind,2,1.5
53,/organization/1o1media,1,4.0
54,/organization/1ring,1,6.0
56,/organization/1sdk,1,5.0
57,/organization/1st-merchant-funding,2,6.0
58,/organization/1stdibs,5,9.0
59,/organization/1stgig-com,1,2.0
60,/organization/1world-online,1,2.0
61,/organization/2-minutes,2,6.0
64,/organization/20-20-gene-systems-inc,1,9.0
65,/organization/20-20-mobile,1,9.0
66,/organization/2080-media,5,8.0
67,/organization/20lines,4,6.0
68,/organization/20x200,11,8.0
69,/organization/21cake-food-co,2,9.0
70,/organization/21diamonds-india,1,9.0
71,/organization/21grams,1,9.0
72,/organization/21vianet,3,9.0
73,/organization/22seeds,1,9.0
74,/organization/2345-com,1,9.0
75,/organization/2359-media,1,9.0
76,/organization/23andme,11,9.0
77,/organization/23press,3,0.0
78,/organization/24-7-card,1,9.0
79,/organization/24-media-network,2,0.0
80,/organization/24-quan,2,8.0
81,/organization/247-learning-private,1,5.0
82,/organization/247-techies,2,6.0
84,/organization/24m-technologies,3,9.0
85,/organization/24pagebooks,1,9.0
86,/organization/24symbols,1,0.0
87,/organization/24tidy,2,5.5
88,/organization/25eight,1,9.0
89,/organization/265-network,1,9.0
90,/organization/27-bards,1,9.0
91,/organization/27-perry,1,9.0
92,/organization/280-north,4,9.0
94,/organization/2adpro-media-solutions,1,8.0
95,/organization/2c2p,3,6.0
96,/organization/2can,3,8.0
97,/organization/2checkout-com,2,9.0
98,/organization/2dheat,2,4.0
99,/organization/2duche,3,9.0
101,/organization/2houses,2,5.0
102,/organization/2nd-story-software-inc,1,9.0
103,/organization/2nd-watch,3,9.0
105,/organization/2sms,1,8.0
106,/organization/2theloo,1,0.0
107,/organization/2u,8,9.0
108,/organization/2web-technologies,2,9.0
110,/organization/3-v-biosciences,3,9.0
111,/organization/30-second-showcase,1,1.0
112,/organization/33across,11,9.0
113,/organization/360fly-inc,2,9.0
114,/organization/360guanxi,1,9.0
115,/organization/360incentives-com,2,8.0
116,/organization/360learning,2,7.5
117,/organization/360shop,1,9.0
118,/organization/360t,1,9.0
119,/organization/365-data-centers,1,9.0
120,/organization/365-docobites,1,3.0
121,/organization/365-retail-markets,1,7.0
122,/organization/365looks,1,8.0
123,/organization/365scores,3,8.0
124,/organization/365webcall,1,9.0
125,/organization/36kr,1,9.0
126,/organization/37coins,1,4.0
127,/organization/37mhealth,1,3.0
128,/organization/37signals,1,9.0
129,/organization/39-health,1,9.0
130,/organization/3baysover,2,5.0
131,/organization/3c-plus,1,0.0
132,/organization/3clogic,2,9.0
133,/organization/3crowd-technologies,5,9.0
134,/organization/3d-control-systems,1,7.0
136,/organization/3d-hubs,3,5.0
138,/organization/3d-product-imaging,1,0.0
139,/organization/3d-robotics,8,9.0
140,/organization/3d-systems,1,9.0
141,/organization/3derm-systems,1,2.0
143,/organization/3discovered,1,9.0
144,/organization/3divi-company,3,4.0
146,/organization/3dr-laboratories,1,9.0
147,/organization/3dsoc,1,9.0
